GEO_ID,NAME,S0804_C01_001E
13001,"Appling County, Georgia",7584
13003,"Atkinson County, Georgia",2679
13005,"Bacon County, Georgia",3902
13007,"Baker County, Georgia",0
13009,"Baldwin County, Georgia",15257
13011,"Banks County, Georgia",4653
13013,"Barrow County, Georgia",23221
13015,"Bartow County, Georgia",43310
13017,"Ben Hill County, Georgia",7409
13019,"Berrien County, Georgia",4845
13021,"Bibb County, Georgia",81430
13023,"Bleckley County, Georgia",2615
13025,"Brantley County, Georgia",2139
13027,"Brooks County, Georgia",3237
13029,"Bryan County, Georgia",8811
13031,"Bulloch County, Georgia",31150
13033,"Burke County, Georgia",12495
13035,"Butts County, Georgia",7488
13037,"Calhoun County, Georgia",1601
13039,"Camden County, Georgia",22286
13043,"Candler County, Georgia",3402
13045,"Carroll County, Georgia",46366
13047,"Catoosa County, Georgia",17850
13049,"Charlton County, Georgia",2879
13051,"Chatham County, Georgia",174231
13053,"Chattahoochee County, Georgia",14307
13055,"Chattooga County, Georgia",6751
13057,"Cherokee County, Georgia",82001
13059,"Clarke County, Georgia",77666
13061,"Clay County, Georgia",707
13063,"Clayton County, Georgia",117618
13065,"Clinch County, Georgia",2300
13067,"Cobb County, Georgia",377981
13069,"Coffee County, Georgia",18565
13071,"Colquitt County, Georgia",16547
13073,"Columbia County, Georgia",42354
13075,"Cook County, Georgia",6080
13077,"Coweta County, Georgia",48089
13079,"Crawford County, Georgia",2317
13081,"Crisp County, Georgia",9084
13083,"Dade County, Georgia",4857
13085,"Dawson County, Georgia",10748
13087,"Decatur County, Georgia",9374
13089,"DeKalb County, Georgia",346426
13091,"Dodge County, Georgia",5883
13093,"Dooly County, Georgia",4735
13095,"Dougherty County, Georgia",47771
13097,"Douglas County, Georgia",49650
13099,"Early County, Georgia",3366
13101,"Echols County, Georgia",689
13103,"Effingham County, Georgia",13504
13105,"Elbert County, Georgia",6497
13107,"Emanuel County, Georgia",7204
13109,"Evans County, Georgia",4574
13111,"Fannin County, Georgia",9790
13113,"Fayette County, Georgia",54153
13115,"Floyd County, Georgia",43479
13117,"Forsyth County, Georgia",99664
13119,"Franklin County, Georgia",8988
13121,"Fulton County, Georgia",929545
13123,"Gilmer County, Georgia",9119
13125,"Glascock County, Georgia",455
13127,"Glynn County, Georgia",44174
13129,"Gordon County, Georgia",26240
13131,"Grady County, Georgia",6386
13133,"Greene County, Georgia",8169
13135,"Gwinnett County, Georgia",395924
13137,"Habersham County, Georgia",15673
13139,"Hall County, Georgia",96657
13141,"Hancock County, Georgia",2148
13143,"Haralson County, Georgia",11002
13145,"Harris County, Georgia",6363
13147,"Hart County, Georgia",8461
13149,"Heard County, Georgia",2521
13151,"Henry County, Georgia",77766
13153,"Houston County, Georgia",75227
13155,"Irwin County, Georgia",2195
13157,"Jackson County, Georgia",31439
13159,"Jasper County, Georgia",2390
13161,"Jeff Davis County, Georgia",4778
13163,"Jefferson County, Georgia",4835
13165,"Jenkins County, Georgia",2750
13167,"Johnson County, Georgia",2135
13169,"Jones County, Georgia",5549
13171,"Lamar County, Georgia",5376
13173,"Lanier County, Georgia",1935
13175,"Laurens County, Georgia",18833
13177,"Lee County, Georgia",6136
13179,"Liberty County, Georgia",33355
13181,"Lincoln County, Georgia",1621
13183,"Long County, Georgia",2278
13185,"Lowndes County, Georgia",57907
13187,"Lumpkin County, Georgia",10823
13189,"McDuffie County, Georgia",7793
13191,"McIntosh County, Georgia",3554
13193,"Macon County, Georgia",3864
13195,"Madison County, Georgia",5415
13197,"Marion County, Georgia",1624
13199,"Meriwether County, Georgia",4940
13201,"Miller County, Georgia",1970
13205,"Mitchell County, Georgia",7108
13207,"Monroe County, Georgia",9138
13209,"Montgomery County, Georgia",1530
13211,"Morgan County, Georgia",10502
13213,"Murray County, Georgia",10509
